year,metric,value,unit,source_url,access_date
2020,"Resident population (citizens + PRs, mid-year estimate)",4044210,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2021,"Resident population (citizens + PRs, mid-year estimate)",3986842,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2022,"Resident population (citizens + PRs, mid-year estimate)",4073239,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2023,"Resident population (citizens + PRs, mid-year estimate)",4149253,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2024,"Resident population (citizens + PRs, mid-year estimate)",4180868,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2025,"Resident population (citizens + PRs, mid-year estimate)",4204515,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2012,National total building GFA (all premises types),NOT FOUND,m2,"https://tablebuilder.singstat.gov.sg/ (Stock of Commercial and Industrial Space tables, table IDs not confirmed) and BCA Annual Report / Building Construction Real Estate NA (Statistics) publications",2026-07-11
2013,National total building GFA (all premises types),NOT FOUND,m2,"https://tablebuilder.singstat.gov.sg/ (Stock of Commercial and Industrial Space tables, table IDs not confirmed) and BCA Annual Report / Building Construction Real Estate NA (Statistics) publications",2026-07-11
2014,National total building GFA (all premises types),NOT FOUND,m2,"https://tablebuilder.singstat.gov.sg/ (Stock of Commercial and Industrial Space tables, table IDs not confirmed) and BCA Annual Report / Building Construction Real Estate NA (Statistics) publications",2026-07-11
2015,National total building GFA (all premises types),NOT FOUND,m2,"https://tablebuilder.singstat.gov.sg/ (Stock of Commercial and Industrial Space tables, table IDs not confirmed) and BCA Annual Report / Building Construction Real Estate NA (Statistics) publications",2026-07-11
2016,National total building GFA (all premises types),NOT FOUND,m2,"https://tablebuilder.singstat.gov.sg/ (Stock of Commercial and Industrial Space tables, table IDs not confirmed) and BCA Annual Report / Building Construction Real Estate NA (Statistics) publications",2026-07-11
2017,National total building GFA (all premises types),NOT FOUND,m2,"https://tablebuilder.singstat.gov.sg/ (Stock of Commercial and Industrial Space tables, table IDs not confirmed) and BCA Annual Report / Building Construction Real Estate NA (Statistics) publications",2026-07-11
2018,National total building GFA (all premises types),NOT FOUND,m2,"https://tablebuilder.singstat.gov.sg/ (Stock of Commercial and Industrial Space tables, table IDs not confirmed) and BCA Annual Report / Building Construction Real Estate NA (Statistics) publications",2026-07-11
2019,National total building GFA (all premises types),NOT FOUND,m2,"https://tablebuilder.singstat.gov.sg/ (Stock of Commercial and Industrial Space tables, table IDs not confirmed) and BCA Annual Report / Building Construction Real Estate NA (Statistics) publications",2026-07-11
2020,National total building GFA (all premises types),NOT FOUND,m2,"https://tablebuilder.singstat.gov.sg/ (Stock of Commercial and Industrial Space tables, table IDs not confirmed) and BCA Annual Report / Building Construction Real Estate NA (Statistics) publications",2026-07-11
2021,National total building GFA (all premises types),NOT FOUND,m2,"https://tablebuilder.singstat.gov.sg/ (Stock of Commercial and Industrial Space tables, table IDs not confirmed) and BCA Annual Report / Building Construction Real Estate NA (Statistics) publications",2026-07-11
2022,National total building GFA (all premises types),NOT FOUND,m2,"https://tablebuilder.singstat.gov.sg/ (Stock of Commercial and Industrial Space tables, table IDs not confirmed) and BCA Annual Report / Building Construction Real Estate NA (Statistics) publications",2026-07-11
2023,National total building GFA (all premises types),NOT FOUND,m2,"https://tablebuilder.singstat.gov.sg/ (Stock of Commercial and Industrial Space tables, table IDs not confirmed) and BCA Annual Report / Building Construction Real Estate NA (Statistics) publications",2026-07-11
2024,National total building GFA (all premises types),NOT FOUND,m2,"https://tablebuilder.singstat.gov.sg/ (Stock of Commercial and Industrial Space tables, table IDs not confirmed) and BCA Annual Report / Building Construction Real Estate NA (Statistics) publications",2026-07-11
2025,National total building GFA (all premises types),NOT FOUND,m2,"https://tablebuilder.singstat.gov.sg/ (Stock of Commercial and Industrial Space tables, table IDs not confirmed) and BCA Annual Report / Building Construction Real Estate NA (Statistics) publications",2026-07-11
